epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.9054,0.98607,0.73891,1.05669,0.91054,0.8357,0.92484,0.68784,0.70354,0.46131,0.93809,0.00053344,0.00053344,0.00053344
2,27.131,0.92141,0.63244,1.00353,0.48021,0.60473,0.60361,0.47174,0.74374,0.55262,0.95524,0.00107282,0.00107282,0.00107282
3,31.8843,0.90713,0.64957,1.00228,0.94523,0.75059,0.88872,0.60181,0.7539,0.52082,0.96478,0.00160131,0.00160131,0.00160131
4,36.6782,0.92072,0.67421,1.00951,0.77703,0.82543,0.85625,0.57466,0.75834,0.56765,0.95783,0.00161749,0.00161749,0.00161749
5,41.4572,0.90118,0.64099,0.99924,0.88087,0.78317,0.84469,0.59906,0.74308,0.53052,0.94758,0.00160099,0.00160099,0.00160099
6,46.1981,0.88926,0.61116,0.97977,0.87261,0.8912,0.94586,0.65869,0.71884,0.50049,0.9418,0.00158448,0.00158448,0.00158448
7,50.9135,0.89702,0.61583,0.97821,0.73807,0.91,0.78991,0.60317,0.71793,0.49323,0.93293,0.00156798,0.00156798,0.00156798
8,55.7023,0.88016,0.59269,0.97423,0.87727,0.73926,0.8462,0.65222,0.70366,0.52029,0.94178,0.00155148,0.00155148,0.00155148
9,60.4625,0.82775,0.57402,0.96116,0.94859,0.91094,0.95675,0.71206,0.66596,0.49691,0.92835,0.00153497,0.00153497,0.00153497
10,65.7261,0.84781,0.58241,0.96331,0.92389,0.76342,0.83898,0.67784,0.70059,0.48406,0.92747,0.00151847,0.00151847,0.00151847
11,70.7667,0.86849,0.59521,0.97002,0.75183,0.68512,0.75671,0.48019,0.74936,0.51782,0.94931,0.00150197,0.00150197,0.00150197
12,76.2118,0.8471,0.58419,0.96381,0.90317,0.7337,0.79335,0.63512,0.67146,0.47513,0.91531,0.00148546,0.00148546,0.00148546
13,81.3588,0.82798,0.5484,0.95744,0.91495,0.90556,0.91721,0.67879,0.66994,0.44729,0.91585,0.00146896,0.00146896,0.00146896
14,86.5263,0.80151,0.53892,0.95576,0.81785,0.87323,0.92126,0.7032,0.70684,0.46272,0.93514,0.00145246,0.00145246,0.00145246
15,91.6634,0.79646,0.5291,0.9593,0.89655,0.80845,0.88004,0.68689,0.67678,0.44291,0.9161,0.00143595,0.00143595,0.00143595
16,96.9022,0.82351,0.54239,0.95507,0.95071,0.8493,0.92199,0.70626,0.66519,0.4426,0.91813,0.00141945,0.00141945,0.00141945
17,102.255,0.82137,0.53461,0.9443,0.93831,0.80291,0.85666,0.69436,0.6639,0.45833,0.91893,0.00140295,0.00140295,0.00140295
18,107.454,0.80202,0.5242,0.94686,0.94745,0.79494,0.83895,0.66146,0.69863,0.46673,0.9388,0.00138644,0.00138644,0.00138644
19,112.588,0.79734,0.51547,0.92878,0.96378,0.79135,0.90019,0.70387,0.67629,0.47092,0.9198,0.00136994,0.00136994,0.00136994
20,118.081,0.79832,0.52921,0.9567,0.90797,0.90184,0.94675,0.71295,0.67794,0.44823,0.91785,0.00135344,0.00135344,0.00135344
21,123.814,0.78993,0.50953,0.93158,0.93723,0.88597,0.95397,0.68897,0.71192,0.45221,0.94576,0.00133693,0.00133693,0.00133693
22,129.153,0.76241,0.50738,0.93576,0.89414,0.89168,0.9198,0.70896,0.62598,0.41893,0.90313,0.00132043,0.00132043,0.00132043
23,134.354,0.75332,0.48783,0.93143,0.93965,0.9682,0.98143,0.72356,0.65551,0.42905,0.91273,0.00130393,0.00130393,0.00130393
24,140.37,0.77016,0.50084,0.93818,0.85481,0.85314,0.87283,0.6762,0.66326,0.44844,0.92298,0.00128742,0.00128742,0.00128742
25,145.812,0.78156,0.50595,0.92952,0.91513,0.87595,0.93436,0.73203,0.67776,0.44907,0.9294,0.00127092,0.00127092,0.00127092
26,151.342,0.76667,0.49721,0.9381,0.92715,0.80444,0.8361,0.65021,0.66489,0.43931,0.92454,0.00125442,0.00125442,0.00125442
27,156.559,0.76827,0.50586,0.93473,0.94484,0.79419,0.87288,0.70894,0.66265,0.43488,0.9191,0.00123791,0.00123791,0.00123791
28,161.595,0.76244,0.50199,0.94149,0.93127,0.83647,0.91837,0.72029,0.65872,0.42789,0.91154,0.00122141,0.00122141,0.00122141
29,166.667,0.76579,0.49116,0.93131,0.9508,0.80645,0.91014,0.72034,0.65722,0.42735,0.92036,0.00120491,0.00120491,0.00120491
30,171.689,0.76974,0.50615,0.94111,0.94844,0.80444,0.91075,0.73516,0.64796,0.4295,0.91148,0.0011884,0.0011884,0.0011884
31,177.078,0.77883,0.5103,0.93732,0.94745,0.78868,0.87883,0.71457,0.68938,0.42858,0.92475,0.0011719,0.0011719,0.0011719
32,182.268,0.75482,0.49468,0.93111,0.9291,0.80537,0.86958,0.69836,0.63641,0.41115,0.90578,0.0011554,0.0011554,0.0011554
33,187.494,0.74982,0.48712,0.93213,0.90966,0.90367,0.92641,0.73638,0.6507,0.40822,0.91122,0.00113889,0.00113889,0.00113889
34,193.143,0.72975,0.47628,0.91952,0.88308,0.91478,0.948,0.74528,0.63485,0.41392,0.91568,0.00112239,0.00112239,0.00112239
35,198.672,0.74166,0.48699,0.92522,0.93469,0.8175,0.88901,0.70638,0.64271,0.41284,0.91776,0.00110589,0.00110589,0.00110589
36,203.805,0.7352,0.46883,0.9169,0.91925,0.85095,0.94165,0.72634,0.66244,0.41921,0.9348,0.00108938,0.00108938,0.00108938
37,208.987,0.74625,0.47991,0.92511,0.96795,0.79599,0.92246,0.74322,0.65194,0.40884,0.92697,0.00107288,0.00107288,0.00107288
38,214.159,0.74922,0.47422,0.9218,0.94352,0.81157,0.93802,0.7513,0.638,0.39688,0.9106,0.00105638,0.00105638,0.00105638
39,219.588,0.73488,0.47434,0.91758,0.95168,0.85172,0.92781,0.75495,0.62978,0.40098,0.90704,0.00103987,0.00103987,0.00103987
40,225.094,0.73189,0.47174,0.91853,0.95078,0.80982,0.89214,0.72577,0.6292,0.3963,0.90789,0.00102337,0.00102337,0.00102337
41,230.349,0.72533,0.46087,0.92047,0.92918,0.78086,0.89202,0.72636,0.61427,0.39222,0.89831,0.00100687,0.00100687,0.00100687
42,235.4,0.72327,0.46289,0.91553,0.94618,0.81244,0.89661,0.72274,0.63656,0.40072,0.90447,0.000990365,0.000990365,0.000990365
43,240.47,0.72376,0.47098,0.91671,0.88151,0.93836,0.95386,0.74415,0.64802,0.40562,0.91278,0.000973861,0.000973861,0.000973861
44,245.679,0.71813,0.46318,0.91329,0.90357,0.91638,0.96706,0.74023,0.65971,0.4036,0.91973,0.000957358,0.000957358,0.000957358
45,250.972,0.71802,0.45441,0.90279,0.90048,0.93836,0.96292,0.76301,0.62995,0.39552,0.91307,0.000940855,0.000940855,0.000940855
46,256.7,0.70629,0.45184,0.91612,0.84114,0.92849,0.95502,0.76089,0.65435,0.3988,0.92077,0.000924352,0.000924352,0.000924352
47,262.434,0.7177,0.46414,0.91875,0.94728,0.87376,0.91929,0.74113,0.63367,0.40026,0.91171,0.000907848,0.000907848,0.000907848
48,267.725,0.71368,0.45206,0.92344,0.90954,0.85325,0.94416,0.76406,0.61791,0.39758,0.90499,0.000891345,0.000891345,0.000891345
49,273.179,0.71055,0.45083,0.90544,0.82466,0.86954,0.92146,0.75477,0.62939,0.40354,0.9057,0.000874842,0.000874842,0.000874842
50,278.337,0.71431,0.45108,0.91158,0.94636,0.77357,0.91641,0.74833,0.61986,0.39102,0.90203,0.000858338,0.000858338,0.000858338
51,283.456,0.70181,0.44599,0.90878,0.94468,0.75037,0.8903,0.73401,0.62272,0.39078,0.90363,0.000841835,0.000841835,0.000841835
52,288.616,0.69815,0.44629,0.90133,0.95075,0.78727,0.89746,0.74503,0.62037,0.39691,0.90435,0.000825332,0.000825332,0.000825332
53,293.743,0.69827,0.45022,0.91139,0.92591,0.84108,0.91182,0.76442,0.63054,0.40055,0.90625,0.000808828,0.000808828,0.000808828
54,299.323,0.69557,0.44794,0.90457,0.84015,0.91916,0.91519,0.76969,0.63028,0.39442,0.90344,0.000792325,0.000792325,0.000792325
55,304.8,0.69597,0.43913,0.89576,0.87926,0.92849,0.92805,0.77026,0.60488,0.38526,0.89954,0.000775822,0.000775822,0.000775822
56,310.206,0.6881,0.43552,0.9046,0.86492,0.88799,0.91011,0.76311,0.596,0.38378,0.89962,0.000759318,0.000759318,0.000759318
57,315.32,0.70582,0.45261,0.91346,0.93126,0.8175,0.91747,0.77289,0.61212,0.38924,0.90233,0.000742815,0.000742815,0.000742815
58,320.742,0.67719,0.42874,0.89532,0.96443,0.81576,0.90034,0.71615,0.62255,0.38856,0.90468,0.000726312,0.000726312,0.000726312
59,325.881,0.69638,0.43369,0.90863,0.93962,0.89337,0.94261,0.79075,0.61774,0.39207,0.90385,0.000709809,0.000709809,0.000709809
60,331.46,0.67585,0.42692,0.89568,0.90958,0.89581,0.94654,0.77325,0.61066,0.39014,0.89841,0.000693305,0.000693305,0.000693305
61,336.73,0.68472,0.43345,0.9055,0.90766,0.87453,0.93583,0.77566,0.59806,0.38039,0.89396,0.000676802,0.000676802,0.000676802
62,342.012,0.68083,0.43538,0.90715,0.93419,0.84954,0.91057,0.75675,0.60841,0.37896,0.89071,0.000660299,0.000660299,0.000660299
63,347.158,0.67988,0.42192,0.89966,0.96005,0.83148,0.91648,0.73577,0.62983,0.38284,0.91336,0.000643795,0.000643795,0.000643795
64,352.364,0.68005,0.42543,0.89503,0.92169,0.93913,0.94331,0.76336,0.60732,0.37854,0.90494,0.000627292,0.000627292,0.000627292
65,357.648,0.68553,0.42618,0.89941,0.87078,0.93913,0.93095,0.77096,0.60226,0.37163,0.8996,0.000610789,0.000610789,0.000610789
66,362.859,0.65986,0.4168,0.89377,0.93487,0.8407,0.92924,0.77678,0.60395,0.37921,0.89523,0.000594286,0.000594286,0.000594286
67,367.995,0.67292,0.42866,0.89989,0.94854,0.80598,0.92468,0.76227,0.62123,0.38445,0.90474,0.000577782,0.000577782,0.000577782
68,373.192,0.66838,0.42952,0.89849,0.95294,0.79593,0.90934,0.7613,0.59115,0.3828,0.89481,0.000561279,0.000561279,0.000561279
69,378.421,0.67279,0.42106,0.89846,0.87706,0.89581,0.93049,0.77603,0.60298,0.37636,0.89865,0.000544776,0.000544776,0.000544776
70,383.718,0.66779,0.42109,0.89004,0.88712,0.92441,0.93984,0.77628,0.60238,0.38311,0.90173,0.000528272,0.000528272,0.000528272
71,389.116,0.66753,0.4206,0.89741,0.87043,0.90456,0.92238,0.76588,0.60753,0.38307,0.90509,0.000511769,0.000511769,0.000511769
72,394.427,0.66721,0.41549,0.89693,0.86924,0.91698,0.94181,0.78866,0.61271,0.37811,0.90658,0.000495266,0.000495266,0.000495266
73,399.596,0.66462,0.41725,0.89674,0.93271,0.83724,0.92457,0.78044,0.61028,0.37807,0.90447,0.000478762,0.000478762,0.000478762
74,404.886,0.66089,0.41737,0.90419,0.91935,0.86312,0.92028,0.78444,0.59229,0.37218,0.89854,0.000462259,0.000462259,0.000462259
